FPAngleAtPKAM1,FPAngleAverage,KAMImpulse,KneeAbdAngleAverage,LimbPGRF1,LimbPGRF2,PKAM1,PKAM2,PKEM,PKFM,TLAngleAtPKAM1,Speed,Stride_Length_Mean,Stride_Width_Mean,Subject,Condition,Limb
-4.132967,-4.771755,-0.030163,1.211517,1.045401,1.022654,-0.144587,-0.092816,0.369098,-0.04236,0.854208,1.18105,1.28144,0.16047,13,Normal,NonDominant
-5.050349,-5.784541,-0.049655,2.793391,1.187037,1.178354,-0.347262,-0.143058,0.209256,-0.322946,-2.186298,1.36823,1.38191,0.13199,14,Normal,NonDominant
-13.271819,-14.323994,-0.049151,1.548033,1.013929,1.08543,-0.234414,-0.075326,-0.017216,-0.066824,6.127153,1.24132,1.3158,0.14102,15,Normal,NonDominant
0.369226,-0.378589,-0.083265,-0.371507,1.067219,1.065472,-0.241174,-0.161135,0.203198,-0.333813,-0.554999,1.19026,1.34499,0.18291,0,Normal,NonDominant
-4.684344,-6.032222,-0.075316,2.349694,1.15215,1.102799,-0.293785,-0.160704,0.344713,-0.250966,2.310356,1.49744,1.46749,0.18509,1,Normal,NonDominant
-7.301741,-7.746899,-0.131982,4.603189,1.0908,1.044821,-0.302271,-0.286148,0.294264,-0.096735,2.568731,1.20761,1.34045,0.0968,2,Normal,NonDominant
-0.403191,-1.617251,-0.070491,-4.081779,0.982109,1.171297,-0.194381,-0.221736,-0.058039,-0.189849,-2.007313,1.23591,1.33478,0.15912,3,Normal,NonDominant
-8.036894,-8.359456,-0.073484,0.649219,1.12209,1.105332,-0.257199,-0.181589,0.143695,-0.182414,-4.616653,1.24005,1.26485,0.08768,4,Normal,NonDominant
-7.010546,-7.56977,-0.160344,9.692766,0.979847,1.059663,-0.33967,-0.258139,0.061659,-0.303294,0.23429,0.9635,1.18029,0.18025,5,Normal,NonDominant
-17.285978,-17.604242,-0.069932,6.623522,1.05456,1.164338,-0.214252,-0.133042,0.278735,-0.095703,7.971395,1.06821,1.20174,0.12135,6,Normal,NonDominant
3.255847,3.532639,-0.050246,-0.524015,1.103363,1.169516,-0.169625,-0.143361,0.462889,-0.123588,4.095986,1.41607,1.52935,0.11664,7,Normal,NonDominant
-0.131712,-1.571745,-0.121903,-1.146466,1.333204,1.171364,-0.396304,-0.281635,0.482516,0.046812,-1.988911,1.52941,1.52176,0.14185,8,Normal,NonDominant
-22.257032,-22.272364,-0.095144,3.444387,1.148957,1.074922,-0.35163,-0.18249,0.408484,-0.037281,-0.984678,1.34099,1.54214,0.07537,9,Normal,NonDominant
-11.977905,-12.838531,-0.082842,3.394338,0.97648,0.975124,-0.275002,-0.160985,0.254596,-0.12705,-1.080234,1.23662,1.44684,0.13436,10,Normal,NonDominant
-14.821116,-15.538123,-0.158445,5.188804,1.166386,1.122504,-0.456068,-0.258327,0.42399,-0.035106,-0.882422,1.1301,1.31092,0.11934,11,Normal,NonDominant
-18.110405,-18.548462,-0.064723,-1.134761,1.096182,1.042459,-0.230153,-0.118928,0.224619,-0.071836,-1.067962,1.30585,1.31238,0.17696,12,Normal,NonDominant
-3.241634,-4.4388,-0.039467,1.011027,1.044966,1.055919,-0.126178,-0.102351,0.410398,0.008234,1.684139,1.17495,1.26307,0.20748,13,Normal,NonDominant
-7.081503,-7.69392,-0.073999,3.674126,1.245757,1.163085,-0.359069,-0.139862,0.353201,-0.237712,-1.846951,1.25281,1.30919,0.13465,14,Normal,NonDominant
-14.044526,-14.473897,-0.048436,1.72209,1.024926,1.074423,-0.240665,-0.103852,-0.034865,-0.094729,3.81668,1.21068,1.30148,0.09232,15,Normal,NonDominant
-1.916561,-2.550322,-0.075349,-0.504855,1.116157,1.074474,-0.211111,-0.146681,0.157995,-0.301311,0.312051,1.14497,1.33962,0.147,0,Normal,NonDominant
-5.258093,-6.582097,-0.073166,2.1064,1.098656,1.120236,-0.271615,-0.159769,0.299004,-0.312952,2.144006,1.52361,1.53885,0.15397,1,Normal,NonDominant
-6.4376,-6.915573,-0.137231,4.425035,1.090618,1.032725,-0.299912,-0.296803,0.294929,-0.099416,3.387801,1.16167,1.3243,0.09428,2,Normal,NonDominant
2.686414,1.252802,-0.086626,-3.786253,1.053977,1.180371,-0.232837,-0.248322,-0.052652,-0.181857,-2.534651,1.2355,1.3467,0.14463,3,Normal,NonDominant
-10.324859,-10.892275,-0.077227,1.171277,1.143595,1.120149,-0.270856,-0.146135,0.189507,-0.157978,-3.449284,1.16161,1.19646,0.07509,4,Normal,NonDominant
-4.715843,-5.020621,-0.173701,10.083367,0.98281,1.063555,-0.365117,-0.304612,0.03051,-0.319946,-1.194975,0.9394,1.16016,0.16605,5,Normal,NonDominant
-15.457271,-15.728123,-0.089575,6.717124,1.065842,1.126232,-0.240408,-0.165334,0.240905,-0.109039,7.116696,0.9449,1.13388,0.12461,6,Normal,NonDominant
